timestamp	equity	avail_balance	cash
2018-11-19T12:30:01.610Z	12.68090257	10.78091307	1854.91170433
2018-11-19T12:45:01.654Z	12.92697338	10.78091307	1871.65769477
2018-11-19T13:00:01.610Z	12.96443006	10.78091307	1874.17690276
2018-11-19T13:15:01.801Z	13.05942553	10.78091307	1880.53115747
2018-11-19T13:30:01.688Z	13.0289123	10.78091307	1878.36525738
2018-11-19T13:45:01.900Z	13.07242956	10.78091307	1881.3971347
2018-11-19T14:00:01.803Z	12.68515632	10.78091307	1855.2041118
2018-11-19T14:15:01.830Z	12.787207	10.78091307	1861.25470209
2018-11-19T14:30:01.841Z	12.96459754	10.78091307	1872.30828293
2018-11-19T14:45:01.969Z	12.60443021	10.78091307	1849.7757599
2018-11-19T15:00:01.841Z	12.78027759	10.78091307	1861.71581681
2018-11-19T15:15:01.917Z	12.85821559	10.78091307	1866.6271572
2018-11-19T15:30:01.908Z	12.50231102	10.78091307	1842.52808657
2018-11-19T15:45:01.908Z	12.76050127	10.78091307	1860.34071965
2018-11-19T16:00:01.915Z	12.70366138	10.78091307	1856.57659238
2018-11-19T16:15:01.945Z	13.01847786	10.78091307	1879.21727909
2018-11-19T16:30:02.024Z	12.99243097	10.78091307	1876.05506234
2018-11-19T16:45:01.960Z	12.79232413	10.78091307	1861.28316092
2018-11-19T17:00:01.996Z	12.74667721	10.78091307	1859.42153801
2018-11-19T17:15:02.001Z	12.77961785	10.78091307	1861.6708303
2018-11-19T17:30:02.052Z	12.854232	10.78091307	1866.74298797
2018-11-19T17:45:02.077Z	12.93198317	10.78091307	1871.99508774
2018-11-19T18:00:02.104Z	12.87848586	10.78091307	1868.3849716
2018-11-19T18:15:02.108Z	12.68597452	10.78091307	1855.26034368
2018-11-19T18:30:02.277Z	12.90978886	10.78091307	1871.23516589
2018-11-19T18:45:02.150Z	12.85821559	10.78091307	1865.67564925
2018-11-19T19:00:02.250Z	12.97230401	10.78091307	1874.70548631
2018-11-19T19:15:02.259Z	13.09103091	10.78091307	1882.6342462
2018-11-19T19:30:02.212Z	12.96443006	10.78091307	1874.17690276
2018-11-19T19:45:02.198Z	12.79529637	10.78091307	1862.73924554
2018-11-19T20:00:02.287Z	12.7358266	10.78091307	1858.67926983
2018-11-19T20:15:02.323Z	12.77664949	10.78091307	1861.46839415
2018-11-19T20:30:02.262Z	12.90945542	10.78091307	1869.88297977
2018-11-19T20:45:02.282Z	12.91145619	10.78091307	1870.61177281
2018-11-19T21:00:01.345Z	13.06162004	10.78091307	1880.67736146
2018-11-19T21:15:01.333Z	13.29495832	10.78091307	1896.07377577
2018-11-19T21:30:01.361Z	13.35706405	10.78091307	1900.1225035
2018-11-19T21:45:01.502Z	13.7521039	10.78091307	1925.40456283
2018-11-19T22:00:01.399Z	13.15908291	10.78091307	1888.26260217
2018-11-19T22:15:01.416Z	13.26779969	10.78091307	1894.29683294
2018-11-19T22:30:01.702Z	13.38962215	10.78091307	1902.23683961
2018-11-19T22:45:01.695Z	13.38563435	10.78091307	1901.97817043
2018-11-19T23:00:01.741Z	13.33891743	10.78091307	1898.94162425
2018-11-19T23:15:01.767Z	13.22837225	10.78091307	1891.71014524
2018-11-19T23:30:01.805Z	13.14938649	10.78091307	1886.79231806
2018-11-19T23:45:01.820Z	13.22922802	10.78091307	1891.76637763
2018-11-20T00:00:01.848Z	13.48204861	10.78091307	1908.51880123
2018-11-20T00:15:01.841Z	13.54633539	10.78091307	1912.33616701
2018-11-20T00:30:01.888Z	13.4219188	10.78091307	1904.32868318
2018-11-20T00:45:01.873Z	13.2458418	10.78091307	1892.65859728
2018-11-20T01:00:01.933Z	13.24549902	10.78091307	1893.21891143
2018-11-20T01:15:01.935Z	13.28773307	10.78091307	1895.6014243
2018-11-20T01:30:02.014Z	13.33063075	10.78091307	1898.40179448
2018-11-20T01:45:01.948Z	13.32821485	10.78091307	1898.24434358
2018-11-20T02:00:02.005Z	13.23761773	10.78091307	1892.3174545
2018-11-20T02:15:02.003Z	13.13935795	10.78091307	1885.83948913
2018-11-20T02:30:02.019Z	12.87150372	10.78091307	1867.91261985
2018-11-20T02:45:02.055Z	12.99679623	10.78091307	1876.34747173
2018-11-20T03:00:02.065Z	12.98035079	10.78091307	1875.24531793
2018-11-20T03:15:02.084Z	13.03295385	10.78091307	1878.76546225
2018-11-20T03:30:02.106Z	13.1815674	10.78091307	1888.62861394
2018-11-20T03:45:02.170Z	13.22905687	10.78091307	1891.75513241
2018-11-20T04:00:02.214Z	13.28034019	10.78091307	1895.11782545
2018-11-20T04:15:02.201Z	13.1815674	10.78091307	1888.62861394
2018-11-20T04:30:02.232Z	13.28429397	10.78091307	1895.89458252
